name	diet	period	lived_in	type	length_m	taxonomy	named_in	species	flight		
dicraeosaurus	herbivorous	Late Jurassic	East Africa	sauropod	20	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae	1914	hansemanni	no		
dilophosaurus	carnivorous	Early Jurassic	North America	large theropod	6	Dinosauria Saurischia Theropoda Neotheropoda Dilophosauridae	2000	wetherilli	no		
diplodocus	herbivorous	Late Jurassic	North America	sauropod	26	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae	1878	longus	no		
dromaeosaurus	carnivorous	Late Cretaceous	North America	small theropod	1.8	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae	1922	albertensis	no		
dromiceiomimus	omnivorous	Late Cretaceous	North America	large theropod	3.5	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae	1926	brevitertius	no		
dryosaurus	herbivorous	Late Jurassic	North America	euornithopod	4	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae	1894	altus	no		
dryptosaurus	carnivorous	Late Cretaceous	North America	large theropod	6.4	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea	1866	aquilunguis	no		
dubreuillosaurus	carnivorous	Late Jurassic	West Europe	large theropod	5	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae	2005	valesdunensis	no		
edmontonia	herbivorous	Late Cretaceous	North America	armoured dinosaur	4	Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae	1928	longiceps	no		
edmontosaurus	herbivorous	Late Cretaceous	North America	euornithopod	13	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae	1917	regalis	no		
einiosaurus	herbivorous	Late Cretaceous	North America	ceratopsian	6	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae	1995	procurvicornis	no		
elaphrosaurus	carnivorous	Late Jurassic	East Africa	large theropod	6.2	Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria	1920	bambergi	no		
emausaurus	herbivorous	Mid Jurassic	West Europe	armoured dinosaur	2	Dinosauria Ornithischia Genasauria Thyreophora	1991	ernsti	no		
eolambia	herbivorous	Late Cretaceous	North America	euornithopod	6	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea	1998	caroljonesa	no		
eoraptor	carnivorous	Late Triassic	South America	small theropod	1	Dinosauria Saurischia Theropoda	1993	lunensis	no		
eotyrannus	carnivorous	Early Cretaceous	West Europe	large theropod	5	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea	2001	lengi	no		
equijubus	herbivorous	Early Cretaceous	East Asia	euornithopod	7	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea	2003	normani	no		
erketu	herbivorous	Early Cretaceous	East Asia	sauropod	15	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria	2006	ellisoni	no		
erlikosaurus	omnivorous	Late Cretaceous	East Asia	small theropod	3.4	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae	1980	andrewsi	no		
