name,diet,period,lived_in,type,length (m),taxonomy,named_in,species,flight,,
confuciusornis,carnivorous,Early Cretaceous,China,small theropod,0.25,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Ornithurae Avibrevicauda Pygostylia Confuciusornithidae,1995,sanctus,yes,,
corythosaurus,herbivorous,Late Cretaceous,USA,euornithopod,10,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,1914,casuarius,no,,
cryolophosaurus,carnivorous,Early Jurassic,Antarctica,large theropod,8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,1994,elliotti,no,,
dacentrurus,herbivorous,Late Jurassic,United Kingdom,armoured dinosaur,6,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae,1902,armatus,no,,
daspletosaurus,carnivorous,Late Cretaceous,Canada,large theropod,9,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,1970,torosus,no,,
datousaurus,herbivorous,Mid Jurassic,China,sauropod,15,Dinosauria Saurischia Sauropodomorpha Sauropoda,1984,bashanensis,no,,
deinocheirus,omnivorous,Late Cretaceous,Mongolia,large theropod,10,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,1970,mirificus,no,,
deinonychus,carnivorous,Early Cretaceous,USA,small theropod,3,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,1969,antirrhopus,no,,
deltadromeus,carnivorous,Late Cretaceous,Morocco,large theropod,8.1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,1996,agilis,no,,
dicraeosaurus,herbivorous,Late Jurassic,Tanzania,sauropod,20,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,1914,hansemanni,no,,
dilophosaurus,carnivorous,Early Jurassic,USA,large theropod,6,Dinosauria Saurischia Theropoda Neotheropoda Dilophosauridae,2000,wetherilli,no,,
diplodocus,herbivorous,Late Jurassic,USA,sauropod,26,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,1878,longus,no,,
dromaeosaurus,carnivorous,Late Cretaceous,USA,small theropod,1.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,1922,albertensis,no,,
dromiceiomimus,omnivorous,Late Cretaceous,Canada,large theropod,3.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,1926,brevitertius,no,,
dryosaurus,herbivorous,Late Jurassic,USA,euornithopod,4,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,1894,altus,no,,
dryptosaurus,carnivorous,Late Cretaceous,USA,large theropod,6.4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,1866,aquilunguis,no,,
dubreuillosaurus,carnivorous,Late Jurassic,France,large theropod,5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,2005,valesdunensis,no,,
edmontonia,herbivorous,Late Cretaceous,Canada,armoured dinosaur,4,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,1928,longiceps,no,,
